timestamp,Count
2023-09-18 11:32:00,5
2023-09-21 07:00:00,5
2023-09-23 14:34:00,5
2023-09-22 05:08:00,5
2023-09-22 12:08:00,5
2023-09-29 17:42:00,5
2023-09-19 06:26:00,5
2023-09-18 11:40:00,5
2023-09-29 14:08:00,5
2023-09-19 09:44:00,5
2023-09-24 15:00:00,5
2023-09-25 07:32:00,5
2023-09-18 13:14:00,5
2023-09-28 06:48:00,5
2023-09-18 11:56:00,5
2023-09-20 06:42:00,4
2023-09-18 09:32:00,4
2023-09-20 17:12:00,4
2023-09-25 04:20:00,4
2023-09-29 16:00:00,4
2023-09-24 14:22:00,4
2023-09-29 09:02:00,4
2023-09-25 09:30:00,4
2023-09-20 10:10:00,4
2023-09-25 18:02:00,4
2023-09-19 12:14:00,4
2023-09-20 11:58:00,4
2023-09-26 09:38:00,4
2023-09-19 04:10:00,4
2023-09-18 09:56:00,4
2023-09-21 10:12:00,4
2023-09-26 06:14:00,4
2023-09-22 05:26:00,4
2023-09-22 10:54:00,4
2023-09-28 10:16:00,4
2023-09-19 06:54:00,4
2023-09-28 09:40:00,4
2023-09-18 09:30:00,4
2023-09-23 17:50:00,4
2023-09-29 12:14:00,4
2023-09-23 09:40:00,4
2023-09-23 16:56:00,4
2023-09-22 17:48:00,3
2023-09-30 09:10:00,3
2023-09-25 07:46:00,3
2023-09-18 11:52:00,3
2023-09-25 05:20:00,3
2023-09-25 05:04:00,3
2023-09-19 19:34:00,3
2023-09-25 03:50:00,3
2023-09-29 12:24:00,3
2023-09-29 11:48:00,3
2023-09-18 10:56:00,3
2023-09-28 17:42:00,3
2023-09-20 14:30:00,3
2023-09-20 06:38:00,3
2023-09-26 13:10:00,3
2023-09-18 12:04:00,3
2023-09-22 09:58:00,3
2023-09-18 16:40:00,3
2023-09-22 15:22:00,3
2023-09-28 09:32:00,3
2023-09-28 11:04:00,3
2023-09-22 13:28:00,3
2023-09-19 06:56:00,3
2023-09-29 10:54:00,3
2023-09-24 17:50:00,3
2023-09-23 12:18:00,3
2023-09-21 05:08:00,3
2023-09-24 09:18:00,3
2023-09-23 18:04:00,3
2023-09-28 12:52:00,3
2023-09-21 12:50:00,3
2023-09-24 06:34:00,3
2023-09-24 14:12:00,3
2023-09-18 18:42:00,3
2023-09-18 09:48:00,3
