first,last,prediction
1696214220,1696214229,99.99999403953552
1696214230,1696214239,100.0
1696214240,1696214249,99.99808669090271
1696214250,1696214259,100.0
1696214260,1696214269,99.99999403953552
1696214270,1696214279,100.0
1696214280,1696214289,99.99998807907104
1696214290,1696214299,100.0
1696214300,1696214309,100.0
1696214310,1696214319,99.99999403953552
1696214320,1696214329,99.99998807907104
1696214330,1696214339,99.99998211860657
1696214340,1696214349,99.99996423721313
1696214350,1696214359,99.99998807907104
1696214360,1696214369,100.0
1696214370,1696214379,100.0
1696214380,1696214389,100.0
1696214390,1696214399,99.98916983604431
1696214400,1696214409,100.0
1696214410,1696214419,99.99997615814209
1696214420,1696214429,99.97317790985107
1696214430,1696214439,99.99999403953552
1696214440,1696214449,100.0
1696214450,1696214459,100.0
1696214460,1696214469,99.9998688697815
1696214470,1696214479,100.0
1696214480,1696214489,99.99985694885254
1696214490,1696214499,100.0
1696214500,1696214509,99.99972581863403
1696214510,1696214519,100.0
1696214520,1696214529,100.0
1696214530,1696214539,100.0
1696214540,1696214549,99.99998807907104
1696214550,1696214559,100.0
1696214560,1696214569,99.99998211860657
1696214570,1696214579,100.0
1696214580,1696214589,100.0
1696214590,1696214599,100.0
1696214600,1696214609,100.0
1696214610,1696214619,100.0
1696214620,1696214629,99.99998807907104
1696214630,1696214639,100.0
1696214640,1696214649,99.99999403953552
1696214650,1696214659,99.99999403953552
1696214660,1696214669,100.0
1696214670,1696214679,100.0
1696214680,1696214689,99.99999403953552
1696214690,1696214699,100.0
1696214700,1696214709,100.0
1696214710,1696214719,100.0
1696214720,1696214729,99.9998688697815
1696214730,1696214739,100.0
1696214740,1696214749,100.0
1696214750,1696214759,99.99424815177917
1696214760,1696214769,99.74627494812012
1696214770,1696214779,99.99915361404419
1696214780,1696214789,99.99998807907104
1696214790,1696214799,99.99996423721313
1696214800,1696214809,99.9997615814209
1696214810,1696214819,99.99996423721313
1696214820,1696214829,99.99998807907104
1696214830,1696214839,100.0
1696214840,1696214849,99.99998807907104
